List of MISMATCHES between SequenceA and SequenceB: (1)Inside chains and (2)Between chains


(1). Mismatches inside chains

 L1EndA	L2StartA		L1EndB	L2StartB		Mismatch
   5092	   5115		   5075	   5098		   23
   5189	   5199		   5172	   5182		   10
   5309	   5312		   5292	   5295		    3
   5374	   5393		   5357	   5376		   19
   5457	   5458		   5440	   5441		    1
   5482	   5501		   5465	   5484		   19
   5618	   5619		   5601	   5602		    1
   5657	   5658		   5640	   5641		    1
   5692	   5693		   5675	   5676		    1
   5747	   5749		   5730	   5732		    2
   5866	   5867		   5849	   5850		    1
   6254	   6255		   6237	   6238		    1
   6304	   6323		   6287	   6306		   19
   6364	   6365		   6347	   6348		    1
   6406	   6413		   6389	   6396		    7
   6517	   6518		   6500	   6501		    1
   6575	   6576		   6558	   6559		    1
   6610	   6611		   6593	   6594		    1
   6694	   6701		   6677	   6684		    7
   6763	   6765		   6746	   6748		    2
   6913	   6926		   6896	   6909		   13
   7087	   7088		   7070	   7071		    1
   7147	   7149		   7130	   7132		    2
   7300	   7313		   7283	   7296		   13
   7357	   7358		   7340	   7341		    1
   7394	   7421		   7377	   7404		   27
   7468	   7490		   7451	   7473		   22
   7513	   7515		   7496	   7498		    2
   7639	   7643		   7622	   7626		    4
   7954	   7956		   7937	   7939		    2
   8094	   8096		   8077	   8079		    2
   8474	   8476		   8457	   8459		    2
   8567	   8568		   8550	   8551		    1
   8618	   8619		   8601	   8602		    1
   8681	   8703		   8664	   8686		   22
   9011	   9012		   8994	   8995		    1
   9392	   9393		   9375	   9376		    1
   9683	   9684		   9666	   9667		    1
   9854	   9867		   9837	   9850		   13
   9938	   9939		   9921	   9922		    1
  10039	  10040		  10022	  10023		    1
  10423	  10424		  10406	  10407		    1
  10732	  10733		  10715	  10716		    1
  10769	  10770		  10752	  10753		    1
  10870	  10881		  10853	  10864		   11
  11078	  11080		  11061	  11063		    2
  11171	  11172		  11154	  11155		    1
  11210	  11212		  11193	  11195		    2
  11290	  11307		  11273	  11290		   17
  11330	  11331		  11313	  11314		    1
  11454	  11456		  11437	  11439		    2
  11680	  11682		  11663	  11665		    2
  11710	  11711		  11693	  11694		    1
  11915	  11922		  11898	  11905		    7
  12041	  12042		  12024	  12025		    1
  12252	  12253		  12235	  12236		    1
  12324	  12325		  12307	  12308		    1
  12372	  12374		  12355	  12357		    2
  12399	  12401		  12382	  12384		    2
  12729	  12730		  12712	  12713		    1
  12760	  12761		  12743	  12744		    1
  12861	  12862		  12844	  12845		    1
  13029	  13031		  13012	  13014		    2
  13116	  13148		  13099	  13131		   32
  13356	  13357		  13339	  13340		    1
  13527	  13529		  13510	  13512		    2
  13554	  13555		  13537	  13538		    1
  13686	  13687		  13669	  13670		    1
  13734	  13736		  13717	  13719		    2
  14247	  14248		  14230	  14231		    1
  14662	  14663		  14645	  14646		    1
  14707	  14720		  14690	  14703		   13
  14887	  14894		  14870	  14877		    7
  15016	  15017		  14999	  15000		    1
  15187	  15190		  15170	  15173		    3
  15553	  15554		  16885	  16886		    1
  15632	  15634		  16964	  16966		    2
  15751	  15793		  17083	  17125		   42
  15894	  15896		  17226	  17228		    2
  15947	  15949		  17279	  17281		    2
  15974	  15995		  17306	  17327		   21
  16046	  16052		  17378	  17384		    6
  16235	  16236		  17567	  17568		    1
  16454	  16455		  17786	  17787		    1
  16496	  16497		  17828	  17829		    1
  16559	  16585		  17891	  17917		   26
  16730	  16731		  18062	  18063		    1
  16759	  16760		  18091	  18092		    1
  16784	  16810		  18116	  18142		   26
  16835	  16836		  18167	  18168		    1
  16946	  16951		  18278	  18283		    5
  17143	  17144		  18475	  18476		    1
  17431	  17448		  18763	  18780		   17
  17479	  17481		  18811	  18813		    2
  17506	  17508		  18838	  18840		    2
  17542	  17583		  18874	  18915		   41
  17611	  17640		  18943	  18972		   29
  17691	  17750		  19023	  19082		   59
  17803	  17805		  19135	  19137		    2
  17830	  17846		  19162	  19178		   16
  17920	  17960		  19252	  19292		   40
  18001	  18002		  19333	  19334		    1
  18043	  18045		  19375	  19377		    2
  24993	  25005		  20588	  20600		   12
  25093	  25094		  20688	  20689		    1
  25216	  25217		  20811	  20812		    1
  25677	  25679		  21272	  21274		    2
  26026	  26053		  21615	  21642		   27
  26094	  26095		  21683	  21684		    1
  26166	  26189		  21755	  21778		   23
  26214	  26216		  21803	  21805		    2
  26304	  26306		  21893	  21895		    2
  26347	  26363		  21936	  21952		   16
  26457	  26458		  22046	  22047		    1
  26676	  26678		  22265	  22267		    2
  26782	  26783		  22371	  22372		    1
  26877	  26878		  22466	  22467		    1
  26922	  26923		  22511	  22512		    1
  27117	  27119		  22706	  22708		    2
  27140	  27141		  22729	  22730		    1
  27291	  27293		  22880	  22882		    2
  27324	  27326		  22913	  22915		    2
  27351	  27388		  22940	  22977		   37
  27429	  27480		  23018	  23069		   51
  27513	  27547		  23102	  23136		   34
  27570	  27571		  23159	  23160		    1
  27718	  27719		  23307	  23308		    1
  27744	  27747		  23333	  23336		    3
  28050	  28120		  23639	  23709		   70
  28167	  28169		  23756	  23758		    2
  28203	  28225		  23792	  23814		   22
  28269	  28307		  23858	  23896		   38
  28332	  28333		  23921	  23922		    1
  28356	  28392		  23945	  23981		   36
  28413	  28420		  24002	  24009		    7
  28443	  28466		  24032	  24055		   23
  28500	  28522		  24089	  24111		   22
  28545	  28588		  24134	  24177		   43
  28626	  28633		  24215	  24222		    7
  28749	  28750		  24338	  24339		    1
  28812	  28814		  24401	  24403		    2
  28845	  28846		  24434	  24435		    1
  28905	  28906		  24494	  24495		    1
  29025	  29027		  24614	  24616		    2
  29055	  29056		  24644	  24645		    1
  29079	  29081		  24668	  24670		    2
  29166	  29210		  24755	  24799		   44
  29274	  29275		  24863	  24864		    1
  29329	  29364		  24918	  24953		   35
  29454	  29455		  25043	  25044		    1
  29858	  29869		  25447	  25458		   11
  29915	  29916		  25504	  25505		    1
  30032	  30054		  25621	  25643		   22
  30094	  30095		  25683	  25684		    1
  30317	  30333		  25943	  25959		   16
  30354	  30355		  25980	  25981		    1
  30383	  30391		  26009	  26017		    8
  30455	  30457		  26081	  26083		    2
  30491	  30492		  26117	  26118		    1
  30566	  30568		  26192	  26194		    2
  30672	  30673		  26298	  26299		    1
  30726	  30727		  26352	  26353		    1
  30768	  30872		  26394	  26498		  104
  30900	  30928		  26526	  26554		   28
  30978	  30994		  26604	  26620		   16
  31038	  31061		  26664	  26687		   23
  31089	  31090		  26715	  26716		    1
  31146	  31162		  26772	  26788		   16
  31398	  31399		  27024	  27025		    1
  31506	  31507		  27132	  27133		    1
  31545	  31546		  27171	  27172		    1
  31642	  31643		  27268	  27269		    1
  31670	  31671		  27296	  27297		    1
  31739	  31740		  27365	  27366		    1
  31805	  31813		  27431	  27439		    8
  31856	  31872		  27482	  27498		   16
  31895	  31896		  27521	  27522		    1
  31958	  31959		  27584	  27585		    1
  32015	  32018		  27641	  27644		    3
  32081	  32085		  27707	  27711		    4
  32441	  32442		  28067	  28068		    1
  32495	  32496		  28121	  28122		    1
  32526	  32544		  28152	  28170		   18
  32572	  32596		  28198	  28222		   24
  32820	  32863		  28446	  28489		   43
  32904	  32912		  28530	  28538		    8
  32940	  32951		  28566	  28577		   11
  33075	  33100		  28701	  28726		   25
  33123	  33124		  28749	  28750		    1
  33204	  33205		  28830	  28831		    1
  33336	  33358		  28962	  28984		   22
  33399	  33402		  29025	  29028		    3
  33465	  33484		  29091	  29110		   19
  33521	  33523		  29147	  29149		    2
  33546	  33547		  29172	  29173		    1
  33577	  33616		  29203	  29242		   39
  33637	  33638		  29263	  29264		    1
  33661	  33680		  29287	  29306		   19
  33707	  33719		  29333	  29345		   12
  33752	  33754		  29378	  29380		    2
  33878	  33879		  29504	  29505		    1
  34217	  34218		  29843	  29844		    1
  34331	  34333		  29957	  29959		    2
  34424	  34425		  30050	  30051		    1
  34559	  34561		  30185	  30187		    2
  34628	  34629		  30254	  30255		    1
  34817	  34830		  30443	  30456		   13
  34937	  34939		  30563	  30565		    2
  34973	  34975		  30599	  30601		    2
  35063	  35079		  30689	  30705		   16
  35287	  35303		  30913	  30929		   16
  35371	  35379		  30997	  31005		    8
  35407	  35414		  31033	  31040		    7
  35455	  35456		  31081	  31082		    1
  35524	  35525		  31150	  31151		    1
  35638	  35639		  31264	  31265		    1
  35743	  35744		  31369	  31370		    1
  35854	  35855		  31480	  31481		    1
  35899	  35900		  31525	  31526		    1
  36037	  36042		  31663	  31668		    5
  36070	  36071		  31696	  31697		    1
  36187	  36188		  31813	  31814		    1
  36247	  36260		  31873	  31886		   13
  36490	  36491		  32116	  32117		    1
  36514	  36522		  32140	  32148		    8
  36556	  36558		  32182	  32184		    2
  36592	  36593		  32218	  32219		    1
  36649	  36651		  32275	  32277		    2
  36745	  36768		  32371	  32394		   23
  36796	  36798		  32422	  32424		    2
  36892	  36897		  32518	  32523		    5
  36931	  36933		  32557	  32559		    2
  36958	  36959		  32584	  32585		    1
  37009	  37031		  32635	  32657		   22
  37084	  37085		  32710	  32711		    1
  37108	  37110		  32734	  32736		    2
  37144	  37157		  32770	  32783		   13
  37204	  37206		  32830	  32832		    2
  37237	  37238		  32863	  32864		    1
  37276	  37305		  32902	  32931		   29
  37330	  37331		  32956	  32957		    1
  37414	  37416		  33040	  33042		    2
  37447	  37467		  33073	  33093		   20
  37531	  37536		  33157	  33162		    5
  37573	  37584		  33199	  33210		   11
  37612	  37613		  33238	  33239		    1
  37789	  37790		  33415	  33416		    1
  37924	  37926		  33550	  33552		    2
  38140	  38151		  33766	  33777		   11
  38275	  38277		  33901	  33903		    2
  38308	  38337		  33934	  33963		   29
  38425	  38427		  34051	  34053		    2
  38970	  38983		  34597	  34610		   13
  39257	  39274		  34851	  34868		   17
  39348	  39349		  34942	  34943		    1
  39399	  39408		  34993	  35002		    9
  39508	  39509		  35102	  35103		    1
  39560	  39576		  35154	  35170		   16
  39897	  39904		  35491	  35498		    7
  40237	  40256		  35831	  35850		   19
  40327	  40329		  35921	  35923		    2
  40393	  40394		  35987	  35988		    1
  40507	  40518		  36101	  36112		   11
  40635	  40636		  36229	  36230		    1
  40667	  40668		  36261	  36262		    1
  40885	  40914		  36479	  36508		   29
  40948	  40959		  36542	  36553		   11
  40980	  40997		  36574	  36591		   17
  41041	  41081		  36635	  36675		   40
  41104	  41141		  36698	  36735		   37
  41179	  41196		  36773	  36790		   17
  41233	  41234		  36827	  36828		    1
  41293	  41316		  36887	  36910		   23
  41372	  41374		  36966	  36968		    2
  41395	  41411		  36989	  37005		   16
  41436	  41438		  37030	  37032		    2
  41845	  41846		  37439	  37440		    1
  41926	  41939		  37520	  37533		   13
  42181	  42182		  37775	  37776		    1
  42509	  42516		  38103	  38110		    7
  42554	  42617		  38148	  38211		   63
  42638	  42645		  38232	  38239		    7
  42704	  42717		  38298	  38311		   13
  42821	  42822		  38415	  38416		    1
  42960	  42962		  38554	  38556		    2
  43079	  43096		  38673	  38690		   17
  43181	  43182		  38775	  38776		    1
  43409	  43411		  39003	  39005		    2
  43436	  43449		  39030	  39043		   13
  43524	  43525		  39118	  39119		    1
  43575	  43576		  39169	  39170		    1
  43619	  43620		  39213	  39214		    1
  43708	  43733		  39302	  39327		   25
  43807	  43808		  39401	  39402		    1
  43999	  44000		  39593	  39594		    1
  44053	  44055		  39647	  39649		    2
  44149	  44150		  39743	  39744		    1
  44197	  44198		  39791	  39792		    1
  44317	  44319		  39911	  39913		    2
  44467	  44468		  40061	  40062		    1
  44506	  44508		  40100	  40102		    2
  44533	  44534		  40127	  40128		    1
  44914	  44915		  40508	  40509		    1
  44949	  44950		  40543	  40544		    1
  45001	  45002		  40595	  40596		    1
  45130	  45152		  40724	  40746		   22
  45262	  45281		  40856	  40875		   19
  45352	  45357		  40946	  40951		    5
  45511	  45512		  41105	  41106		    1
  45592	  45593		  41186	  41187		    1
  45814	  45818		  41408	  41412		    4
  45914	  45915		  41508	  41509		    1
  45949	  45951		  41543	  41545		    2
  46075	  46088		  41669	  41682		   13
  46231	  46232		  41825	  41826		    1
  46282	  46284		  41876	  41878		    2
  46425	  46426		  42019	  42020		    1
  46470	  46484		  42064	  42078		   14
  46738	  46753		  42325	  42340		   15
  46885	  46899		  42472	  42486		   14
  46987	  46993		  42574	  42580		    6
  47053	  47055		  42640	  42642		    2
  47156	  47157		  42743	  42744		    1
  47207	  47216		  42794	  42803		    9
  47332	  47334		  42919	  42921		    2
  47419	  47421		  43006	  43008		    2
  47446	  47468		  43033	  43055		   22
  47506	  47510		  43093	  43097		    4
  47694	  47697		  43281	  43284		    3
  47803	  47804		  43390	  43391		    1
  47835	  47855		  43422	  43442		   20
  47961	  47975		  43548	  43562		   14
  48186	  48187		  43773	  43774		    1
  48270	  48271		  43857	  43858		    1
  48294	  48295		  43881	  43882		    1
  48372	  48373		  43959	  43960		    1
  48567	  48568		  44154	  44155		    1
  48674	  48675		  44261	  44262		    1
  48752	  48754		  44339	  44341		    2
  48782	  48792		  44369	  44379		   10
  48866	  48868		  44453	  44455		    2
  49073	  49074		  44660	  44661		    1
  49097	  49129		  44684	  44716		   32
  49223	  49224		  44810	  44811		    1
  49262	  49267		  44849	  44854		    5
  49311	  49313		  44898	  44900		    2
  49370	  49372		  44957	  44959		    2
  49400	  49401		  44987	  44988		    1
  49464	  49470		  45051	  45057		    6
  49568	  49569		  45155	  45156		    1
  49625	  49627		  45212	  45214		    2
  49655	  49656		  45242	  45243		    1
  49694	  49695		  45281	  45282		    1
  49733	  49747		  45320	  45334		   14
  49772	  49779		  45359	  45366		    7
  49841	  49843		  45428	  45430		    2
  49957	  49968		  45544	  45555		   11
  50248	  50255		  45834	  45841		    7
  50315	  50316		  45901	  45902		    1
  50362	  50363		  45948	  45949		    1
  50587	  50615		  46173	  46201		   28
  50659	  50666		  46245	  46252		    7
  51046	  51074		  46632	  46660		   28
  51125	  51127		  46711	  46713		    2
  51202	  51203		  46788	  46789		    1
  51313	  51314		  46899	  46900		    1
  51551	  51565		  47137	  47151		   14
  51643	  51644		  47229	  47230		    1
  51718	  51722		  47304	  47308		    4
  51846	  51848		  47432	  47434		    2
  51879	  51928		  47465	  47514		   49
  52199	  52200		  47785	  47786		    1
  52228	  52250		  47814	  47836		   22
  52366	  52367		  47952	  47953		    1
  52441	  52446		  48027	  48032		    5
  52495	  52496		  48081	  48082		    1
  52615	  52616		  48201	  48202		    1
  52657	  52693		  48243	  48279		   36
  52750	  52770		  48336	  48356		   20
  52810	  52811		  48396	  48397		    1
  52858	  52859		  48444	  48445		    1
  52966	  52983		  48552	  48569		   17
  53048	  53049		  48634	  48635		    1
  53137	  53159		  48723	  48745		   22
  53287	  53288		  48873	  48874		    1
  53341	  53345		  48927	  48931		    4
  53383	  53420		  48969	  49006		   37
  53461	  53463		  49047	  49049		    2
  53491	  53493		  49077	  49079		    2
  53557	  53559		  49143	  49145		    2
  53593	  53595		  49179	  49181		    2
  53623	  53624		  49209	  49210		    1
  53683	  53739		  49269	  49325		   56
  53767	  53768		  49353	  49354		    1
  53869	  53870		  49455	  49456		    1
  53929	  53930		  49515	  49516		    1
  53983	  53984		  49569	  49570		    1
  54354	  54383		  49940	  49969		   29
  54537	  54568		  50123	  50154		   31
  54609	  54610		  50195	  50196		    1
  54660	  54662		  50246	  50248		    2
  54690	  54691		  50276	  50277		    1
  55442	  55445		  50467	  50470		    3
  55476	  55477		  50501	  50502		    1
  55500	  55501		  50525	  50526		    1
  55551	  55552		  50576	  50577		    1
  55659	  55675		  50684	  50700		   16
  55734	  55742		  50759	  50767		    8
  55767	  55789		  50792	  50814		   22
  55887	  55889		  50912	  50914		    2
  55980	  55982		  51005	  51007		    2
  56070	  56072		  51095	  51097		    2
  56526	  56527		  51551	  51552		    1
  56594	  56595		  51619	  51620		    1
  56876	  56899		  51901	  51924		   23
  57110	  57111		  52135	  52136		    1
  57245	  57246		  52270	  52271		    1
  57284	  57286		  52309	  52311		    2
  57314	  57321		  52339	  52346		    7
  57468	  57469		  52493	  52494		    1
  57490	  57491		  52515	  52516		    1
  57625	  57626		  52650	  52651		    1
  57697	  57707		  52722	  52732		   10
  57808	  57812		  52833	  52837		    4
  57868	  57869		  52893	  52894		    1
  57946	  57947		  52971	  52972		    1
  57994	  58120		  53019	  53145		  126
  58143	  58146		  53168	  53171		    3
  58182	  58183		  53207	  53208		    1
  58257	  58258		  53282	  53283		    1
  58602	  58603		  53627	  53628		    1
  58659	  58660		  53684	  53685		    1
  58767	  58768		  53792	  53793		    1
  58875	  58876		  53900	  53901		    1
  59310	  59312		  54335	  54337		    2
  59956	  59958		  54981	  54983		    2
  61458	  61460		  56483	  56485		    2
  61914	  61916		  56939	  56941		    2
  62810	  62811		  57835	  57836		    1
  62834	  62837		  57859	  57862		    3
  62901	  62902		  57926	  57927		    1
  63116	  63129		  58141	  58154		   13
  63186	  63188		  58211	  58213		    2
  63256	  63283		  58281	  58308		   27
  63324	  63325		  58349	  58350		    1
  63369	  63370		  58394	  58395		    1
  63406	  63407		  58431	  58432		    1
  63475	  63476		  58500	  58501		    1
  63497	  63499		  58522	  58524		    2
  63537	  63538		  58562	  58563		    1
  63578	  63579		  58603	  58604		    1
  63641	  63741		  58666	  58766		  100
  63768	  63814		  58793	  58839		   46
  63839	  63854		  58864	  58879		   15
  63884	  63890		  58909	  58915		    6
  63915	  63916		  58940	  58941		    1
  64328	  64335		  59396	  59403		    7
  64415	  64417		  59483	  59485		    2
  64704	  64705		  59772	  59773		    1
  64761	  64762		  59829	  59830		    1
  64985	  65007		  60053	  60075		   22
  65121	  65122		  60189	  60190		    1
  65175	  65177		  60243	  60245		    2
  65477	  65478		  60545	  60546		    1
  65822	  65824		  60890	  60892		    2
  65855	  65875		  60923	  60943		   20
  66389	  66390		  61457	  61458		    1
  66632	  66634		  61700	  61702		    2
  66662	  66663		  61730	  61731		    1
  66803	  66810		  61871	  61878		    7
  66914	  66933		  61982	  62001		   19
  67034	  67035		  62102	  62103		    1
  67076	  67077		  62144	  62145		    1
  67139	  67144		  62207	  62212		    5
  67172	  67179		  62240	  62247		    7
  67235	  67254		  62303	  62322		   19
  67301	  67326		  62369	  62394		   25
  67376	  67377		  62444	  62445		    1
  67400	  67416		  62468	  62484		   16
  67457	  67458		  62525	  62526		    1
  67508	  67509		  62576	  62577		    1
  67583	  67584		  62651	  62652		    1
  67622	  67623		  62690	  62691		    1
  67697	  67699		  62765	  62767		    2
  67724	  67726		  62792	  62794		    2
  67793	  67794		  62861	  62862		    1
  67853	  67855		  62921	  62923		    2
  68538	  68539		  63607	  63608		    1
  68562	  68564		  63631	  63633		    2
  68589	  68590		  63658	  63659		    1
  68613	  68629		  63682	  63698		   16
  68667	  68668		  63736	  63737		    1
  68712	  68720		  63781	  63789		    8
  68745	  68755		  63814	  63824		   10
  68793	  68798		  63862	  63867		    5
  68832	  68855		  63901	  63924		   23
  68940	  68987		  64009	  64056		   47
  69023	  69025		  64092	  64094		    2
  69087	  69103		  64156	  64172		   16
  69163	  69165		  64232	  64234		    2
  69282	  69283		  64351	  64352		    1
  69351	  69362		  64420	  64431		   11
  69450	  69490		  64519	  64559		   40
  69570	  69620		  64639	  64689		   50
  69645	  69679		  64714	  64748		   34
  69957	  69992		  65026	  65061		   35
  70026	  70027		  65095	  65096		    1
  70071	  70073		  65140	  65142		    2
  70098	  70101		  65167	  65170		    3
  70122	  70166		  65191	  65235		   44
  70197	  70198		  65266	  65267		    1
  70221	  70222		  65290	  65291		    1
  70245	  70246		  65314	  65315		    1
  70310	  70311		  65379	  65380		    1
  70383	  70384		  65452	  65453		    1
  70446	  70447		  65515	  65516		    1
  70512	  70513		  65581	  65582		    1
  70537	  70539		  65606	  65608		    2
  70650	  70669		  65719	  65738		   19
  70740	  70756		  65809	  65825		   16
  70961	  70971		  66030	  66040		   10
  71021	  71022		  66090	  66091		    1
  71195	  71273		  66264	  66342		   78
  71303	  71304		  66372	  66373		    1
  71332	  71335		  66401	  66404		    3
  71459	  71461		  66528	  66530		    2
  71505	  71592		  66574	  66661		   87
  71613	  71615		  66597	  66599		    2
  71685	  71686		  66839	  66840		    1
  71742	  71743		  66896	  66897		    1
  71790	  71791		  66944	  66945		    1
  71814	  71815		  66968	  66969		    1
  72015	  72016		  67169	  67170		    1
  72156	  72157		  67310	  67311		    1
  72390	  72391		  67544	  67545		    1
  72440	  72441		  67594	  67595		    1
  72678	  72679		  67832	  67833		    1
  72798	  72806		  67952	  67960		    8
  72837	  72838		  67991	  67992		    1
  72942	  72943		  68096	  68097		    1
  72981	  72988		  68135	  68142		    7
  73034	  73037		  68188	  68191		    3
  73074	  73082		  68228	  68236		    8
  73146	  73147		  68300	  68301		    1
  73203	  73205		  68357	  68359		    2
  73312	  73322		  68466	  68476		   10
  73363	  73368		  68517	  68522		    5
  73432	  73434		  68586	  68588		    2
  73522	  73539		  68676	  68693		   17
  73791	  73805		  68945	  68959		   14
  73858	  73860		  69012	  69014		    2
  73954	  73956		  69108	  69110		    2
  74050	  74051		  69204	  69205		    1
  74167	  74171		  69321	  69325		    4
  74212	  74213		  69366	  69367		    1
  74266	  74273		  69420	  69427		    7
  74317	  74318		  69471	  69472		    1
  74449	  74474		  69603	  69628		   25
  74596	  74597		  69750	  69751		    1
  74680	  74681		  69834	  69835		    1
  74779	  74781		  69933	  69935		    2
  74815	  74831		  69969	  69985		   16
  75022	  75024		  70176	  70178		    2
  75175	  75177		  70329	  70331		    2
  75215	  75216		  70369	  70370		    1
  75317	  75319		  70471	  70473		    2
  75846	  75848		  71000	  71002		    2
  75926	  75930		  71080	  71084		    4
  76058	  76059		  71212	  71213		    1
  76386	  76489		  71540	  71643		  103
  76599	  76619		  71753	  71773		   20
  76650	  76702		  71804	  71856		   52
  76743	  76753		  71897	  71907		   10
  76800	  76813		  71954	  71967		   13
  76900	  76915		  72054	  72069		   15
  77046	  77068		  72227	  72249		   22
  77124	  77126		  72305	  72307		    2
  77157	  77179		  72338	  72360		   22
  77223	  77224		  72404	  72405		    1
  77255	  77256		  72436	  72437		    1
  77334	  77335		  72515	  72516		    1
  77400	  77480		  72581	  72661		   80
  77548	  77617		  72729	  72798		   69
  77679	  77681		  72860	  72862		    2
  77712	  77713		  72893	  72894		    1
  77757	  77772		  72938	  72953		   15
  77818	  77819		  72999	  73000		    1
  77932	  77933		  73113	  73114		    1
  77956	  77960		  73137	  73141		    4
  77983	  77985		  73164	  73166		    2
  78079	  78087		  73260	  73268		    8
  78175	  78200		  73356	  73381		   25
  78230	  78251		  73411	  73432		   21
  78421	  78422		  73602	  73603		    1
  78462	  78464		  73643	  73645		    2
  78549	  78550		  73730	  73731		    1
  78574	  78608		  73755	  73789		   34
  78670	  78698		  73851	  73879		   28
  78739	  78742		  73920	  73923		    3
  78801	  78803		  73982	  73984		    2
  78826	  78845		  74007	  74026		   19
  78916	  78917		  74097	  74098		    1
  78970	  78974		  74151	  74155		    4
  79021	  79027		  74202	  74208		    6
  79051	  79053		  74232	  74234		    2
  79125	  79139		  74306	  74320		   14
  79186	  79187		  74367	  74368		    1
  79208	  79219		  74389	  74400		   11
  79281	  79282		  74462	  74463		    1
  79391	  79393		  74572	  74574		    2
  79554	  79555		  74735	  74736		    1
  79951	  79952		  75132	  75133		    1
  80043	  80044		  75224	  75225		    1
  80280	  80281		  75461	  75462		    1
  80403	  80404		  75584	  75585		    1
  81554	  81555		  75726	  75727		    1
  82103	  82104		  76275	  76276		    1
  82235	  82236		  76407	  76408		    1
  82394	  82435		  76566	  76607		   41
  82526	  82528		  76698	  76700		    2
  82553	  82554		  76725	  76726		    1
  82601	  82602		  76773	  76774		    1
  82816	  82817		  76988	  76989		    1
  82838	  82863		  77010	  77035		   25
  82943	  82944		  77115	  77116		    1
  83003	  83004		  77175	  77176		    1
  83142	  83143		  77314	  77315		    1
  83205	  83217		  77377	  77389		   12
  83308	  83353		  77480	  77525		   45
  83525	  83526		  78918	  78919		    1
  83567	  83568		  78960	  78961		    1
  83591	  83593		  78984	  78986		    2
  83762	  83763		  79155	  79156		    1
  83807	  83809		  79200	  79202		    2
  83863	  83864		  79256	  79257		    1
  83948	  83949		  79341	  79342		    1
  84099	  84115		  79492	  79508		   16
  84165	  84166		  79558	  79559		    1
  84306	  84431		  79699	  79824		  125
  84472	  84473		  79865	  79866		    1
  84503	  84504		  79896	  79897		    1
  84588	  84598		  79981	  79991		   10
  84621	  84637		  80014	  80030		   16
  84765	  84788		  80158	  80181		   23
  84822	  84823		  80215	  80216		    1
  84917	  84918		  80310	  80311		    1
  84978	  84985		  80371	  80378		    7
  85119	  85121		  80512	  80514		    2
  85155	  85162		  80548	  80555		    7
  85215	  85232		  80608	  80625		   17
  85263	  85265		  80656	  80658		    2
  85293	  85294		  80686	  80687		    1
  85401	  85403		  80794	  80796		    2
  85428	  85444		  80821	  80837		   16
  85487	  85488		  80880	  80881		    1
  85605	  85606		  80998	  80999		    1
  85655	  85665		  81048	  81058		   10
  85688	  85689		  81081	  81082		    1
  85909	  85910		  81302	  81303		    1
  85937	  85947		  81330	  81340		   10
  86000	  86014		  81393	  81407		   14
  86039	  86047		  81432	  81440		    8
  86081	  86082		  81474	  81475		    1
  86156	  86157		  81549	  81550		    1
  86237	  86238		  81630	  81631		    1
  86272	  86279		  81665	  81672		    7
  86306	  86325		  81699	  81718		   19
  86447	  86448		  81840	  81841		    1
  86522	  86527		  81915	  81920		    5
  86628	  86693		  82021	  82086		   65
